곡일련번호,앨범명,곡명,가수명,커버이미지_주소,순위,좋아요수
36599950,NewJeans 2nd EP 'Get Up',Super Shy,NewJeans,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/120/quality/80/optimize,1,102894
36617841,Seven (feat. Latto) - Clean Ver.,Seven (feat. Latto) - Clean Ver.,정국,https://cdnimg.melon.co.kr/cm2/album/images/112/86/070/11286070_20230713181059_500.jpg/melon/resize/120/quality/80/optimize,2,107102
36635522,NewJeans 2nd EP 'Get Up',ETA,NewJeans,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/120/quality/80/optimize,3,43351
36430773,I feel,퀸카 (Queencard),(여자)아이들,https://cdnimg.melon.co.kr/cm2/album/images/112/40/232/11240232_20230509151820_500.jpg/melon/resize/120/quality/80/optimize,4,122594
36382580,1집 Alone,헤어지자 말해요,박재정,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/120/quality/80/optimize,5,88980
36356993,I've IVE,I AM,IVE (아이브),https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,6,186681
36411344,UNFORGIVEN,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),https://cdnimg.melon.co.kr/cm2/album/images/112/34/678/11234678_20230502162327_500.jpg/melon/resize/120/quality/80/optimize,7,93750
36416114,MY WORLD - The 3rd Mini Album,Spicy,aespa,https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/120/quality/80/optimize,8,113634
36490426,Steal The Show (From “엘리멘탈”),Steal The Show (From “엘리멘탈”),Lauv,https://cdnimg.melon.co.kr/cm2/album/images/112/54/858/11254858_20230531233847_500.jpg/melon/resize/120/quality/80/optimize,9,96888
36599949,NewJeans 2nd EP 'Get Up',New Jeans,NewJeans,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/120/quality/80/optimize,10,50731
34061322,신사와 아가씨 OST Part.2,사랑은 늘 도망가,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/120/quality/80/optimize,11,200662
36411342,UNFORGIVEN,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),https://cdnimg.melon.co.kr/cm2/album/images/112/34/678/11234678_20230502162327_500.jpg/melon/resize/120/quality/80/optimize,12,111230
36502910,모래 알갱이,모래 알갱이,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/112/58/233/11258233_20230605094802_500.jpg/melon/resize/120/quality/80/optimize,13,45562
36318125,I've IVE,Kitsch,IVE (아이브),https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,14,144968
35454426,NewJeans 1st EP 'New Jeans',Hype boy,NewJeans,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,15,274155
34908740,IM HERO,우리들의 블루스,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,16,96574
35008524,IM HERO,다시 만날 수 있을까,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,17,78567
36632907,NewJeans 2nd EP 'Get Up',Cool With You,NewJeans,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/120/quality/80/optimize,18,24861
35945927,NewJeans 'OMG',Ditto,NewJeans,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,19,265444
35008525,IM HERO,무지개,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,20,66934
35931532,Candy - Winter Special Mini Album,Candy,NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/111/24/139/11124139_20221215162633_500.jpg/melon/resize/120/quality/80/optimize,21,163573
32508053,내일은 미스터트롯 우승자 특전곡,이제 나만 믿어요,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg/melon/resize/120/quality/80/optimize,22,169965
35834583,Polaroid,London Boy,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/120/quality/80/optimize,23,54927
36546894,ISTJ - The 3rd Album,ISTJ,NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/112/68/653/11268653_20230717145416_500.jpg/melon/resize/120/quality/80/optimize,24,52766
35834584,Polaroid,Polaroid,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/120/quality/80/optimize,25,49760
35008527,IM HERO,아버지,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,26,54810
35008534,IM HERO,인생찬가,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,27,50830
36391236,SEVENTEEN 10th Mini Album ‘FML',손오공,세븐틴 (SEVENTEEN),https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,28,143018
35008528,IM HERO,A bientot,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,29,52046
36581408,Still With You,Still With You,정국,https://cdnimg.melon.co.kr/cm2/album/images/112/77/386/11277386_20230703095238_500.jpg/melon/resize/120/quality/80/optimize,30,73834
35008526,IM HERO,손이 참 곱던 그대,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,31,49855
35008531,IM HERO,사랑해 진짜,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,32,51025
35008532,IM HERO,연애편지,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,33,48971
36546895,ISTJ - The 3rd Album,Broken Melodies,NCT DREAM,https://cdnimg.melon.co.kr/cm2/album/images/112/68/653/11268653_20230717145416_500.jpg/melon/resize/120/quality/80/optimize,34,66620
35985167,NewJeans 'OMG',OMG,NewJeans,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,35,189312
32872978,Dynamite (DayTime Version),Dynamite,방탄소년단,https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg/melon/resize/120/quality/80/optimize,36,456501
36331121,ME,꽃,지수 (JISOO),https://cdnimg.melon.co.kr/cm2/album/images/112/14/411/11214411_20230330163342_500.jpg/melon/resize/120/quality/80/optimize,37,116954
35454425,NewJeans 1st EP 'New Jeans',Attention,NewJeans,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,38,230204
35008530,IM HERO,보금자리,임영웅,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,39,48393
33507137,Butter,Butter,방탄소년단,https://cdnimg.melon.co.kr/cm2/album/images/106/12/483/10612483_20210521111412_500.jpg/melon/resize/120/quality/80/optimize,40,291221
35546497,After LIKE,After LIKE,IVE (아이브),https://cdnimg.melon.co.kr/cm2/album/images/110/34/298/11034298_20220822101843_500.jpg/melon/resize/120/quality/80/optimize,41,233504
34819473,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',사건의 지평선,윤하 (YOUNHA),https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/120/quality/80/optimize,42,308892
36516320,Take Two,Take Two,방탄소년단,https://cdnimg.melon.co.kr/cm2/album/images/112/61/503/11261503_20230608180105_500.jpg/melon/resize/120/quality/80/optimize,43,64110
35640751,CHARLIE,I Don't Think That I Like Her,Charlie Puth,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg/melon/resize/120/quality/80/optimize,44,178725
36313117,FACE,Like Crazy,지민,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg/melon/resize/120/quality/80/optimize,45,65954
36206259,The Beginning: Cupid,Cupid,FIFTY FIFTY,https://cdnimg.melon.co.kr/cm2/album/images/111/88/020/11188020_20230223114923_500.jpg/melon/resize/120/quality/80/optimize,46,112291
30244931,YOU NEVER WALK ALONE,봄날,방탄소년단,https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg/melon/resize/120/quality/80/optimize,47,548718
36635524,NewJeans 2nd EP 'Get Up',ASAP,NewJeans,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/120/quality/80/optimize,48,22711
36351997,D-DAY,사람 Pt.2 (feat. 아이유),Agust D,https://cdnimg.melon.co.kr/cm2/album/images/112/19/412/11219412_20230421104829_500.jpg/melon/resize/120/quality/80/optimize,49,73473
