id,name,name_en,name_cn,x_pos,y_pos,address,parking_count
ST0002,티머니 임시대여소,시즌2 임시대여소,시즌2 임시대여소,37.554250,126.974017,서울특별시 중구 남대문로5가 581 서울시티타워 ,1
ST0003,탄방동 한사랑병원,탄방동 한사랑병원,탄방동 한사랑병원,36.348446,127.390052,탄방동 730,1
ST0004,한가람아파트(2동),한가람아파트(2동),한가람아파트(2동),36.348201,127.390409,탄방동 1446,0
ST0005,목련아파트(103동),목련아파트(103동),목련아파트(103동),36.350037,127.390402,둔산동 1510,1
ST0006,크로바아파트(103동),크로바아파트(103동),크로바아파트(103동),36.352480,127.390385,둔산동 1506,0
ST0007,한마루아파트(107동),한마루아파트(107동),한마루아파트(107동),36.354587,127.390468,둔산동 1388,1
ST0008,농협 둔산중앙지점,농협 둔산중앙지점,농협 둔산중앙지점,36.358919,127.390044,둔산동 926,3
ST0010,둔산동 샤크존,둔산동 샤크존,둔산동 샤크존,36.348853,127.386433,둔산동 1546-1,0
ST0011,공무원연금공단 대전지부,공무원연금공단 대전지부,공무원연금공단 대전지부,36.347026,127.386925,탄방동 700,1
ST0012,시청역 8번출구,시청역 8번출구,시청역 8번출구,36.350583,127.386942,대전광역시 서구 둔산동 1416,0
ST0013,세이브존,세이브존,세이브존,36.351954,127.395413,둔산동 1809,0
ST0014,가람아파트 상가,가람아파트 상가,가람아파트 상가,36.355878,127.398305,둔산동 1805,1
ST0015,수정타운아파트(1동),수정타운아파트(1동),수정타운아파트(1동),36.358282,127.395424,대전광역시 서구 둔산동 1524-1,1
ST0016,문정어린이공원,문정어린이공원,문정어린이공원,36.349982,127.399127,둔산동 24,0
ST0017,한아름아파트(108동),한아름아파트(108동),한아름아파트(108동),36.363321,127.374482,월평3동 1509,0
ST0018,다모아아파트 육교밑(111동),다모아아파트 육교밑(111동),다모아아파트 육교밑(111동),36.363085,127.366753,월평동 311,0
ST0019,은평공원 테니스장 입구,은평공원 테니스장 입구,은평공원 테니스장 입구,36.358670,127.363647,월평동 312,2
ST0020,만년동 기업은행,만년동 기업은행,만년동 기업은행,36.368581,127.379974,만년동 296,0
ST0021,선사유적지 건너편(정부청사),선사유적지 건너편(정부청사),선사유적지 건너편(정부청사),36.361063,127.379685,둔산동 1516,1
ST0022,유성한가족 요양병원 소공원,유성한가족 요양병원 소공원,유성한가족 요양병원 소공원,36.355079,127.350214,봉명동 695,0
ST0023,한밭대학교 남문,한밭대학교 남문,한밭대학교 남문,36.347541,127.301356,덕명동 601-1,0
ST0024,덕명동 화산어린이공원,덕명동 화산어린이공원,덕명동 화산어린이공원,36.349122,127.298730,덕명동 598,1
ST0025,큰마을네거리,큰마을네거리,큰마을네거리,36.348711,127.377134,둔산동 1535,0
ST0026,미호동 넷제로 공판장,미호동 넷제로 공판장,미호동 넷제로 공판장,36.466409,127.468306,미호동 262-4,0
ST0027,과선교 버스정류장(128),과선교 버스정류장(128),과선교 버스정류장(128),36.442713,127.429579,신탄진동 295-191,0
ST0029,오정동 한일방전,오정동 한일방전,오정동 한일방전,36.352175,127.413985,오정동 382-6,0
ST0030,동구 보건지소,동구 보건지소,동구 보건지소,36.342527,127.420480,삼성동 353-14,0
ST0031,도룡동 우성아파트,도룡동 우성아파트,도룡동 우성아파트,36.388274,127.381560,도룡동 383-3,0
ST0032,관저더샵(109동),관저더샵(109동),관저더샵(109동),36.293563,127.328340,관저동 1985,0
ST0033,사정동 송원칼국수,사정동 송원칼국수,사정동 송원칼국수,36.295814,127.389263,사정동 425-5,3
ST0034,안영동 농협하나로마트,안영동 농협하나로마트,안영동 농협하나로마트,36.288285,127.379374,안영동 703,1
ST0035,문화동 다이소,문화동 다이소,문화동 다이소,36.315527,127.408232,문화동 284-31,0
ST0036,문화동 홈플러스,문화동 홈플러스,문화동 홈플러스,36.320762,127.407117,문화동 1-17,1
ST0037,서대전 KT,서대전 KT,서대전 KT,36.321226,127.413759,대전광역시 중구 문화동 1-30,1
ST0038,서대전공원 야외공연장 뒤편,서대전공원 야외공연장 뒤편,서대전공원 야외공연장 뒤편,36.320465,127.410680,문화동 1-39,0
ST0039,문화초네거리(219),문화초네거리(219),문화초네거리(219),36.313097,127.399471,유천동 168-8,0
ST0040,머티네거리(220),머티네거리(220),머티네거리(220),36.309219,127.388027,산성동 160-9,1
ST0041,대사동 대전중앙교회(218),대사동 대전중앙교회(218),대사동 대전중앙교회(218),36.318201,127.416864,대사동 248-229,0
ST0042,오류동 하나은행,오류동 하나은행,오류동 하나은행,36.326435,127.407365,오류동 176-1,1
ST0043,중구청(중구청역 1번출구),중구청(중구청역 1번출구),중구청(중구청역 1번출구),36.325520,127.420748,대흥동 499-1,0
ST0045,대사동 민제한의원(192),대사동 민제한의원(192),대사동 민제한의원(192),36.317763,127.425594,대사동 117-2,0
ST0046,보문산 공영주차장,보문산 공영주차장,보문산 공영주차장,36.311962,127.420543,대사동 197-214,0
ST0047,청란여고 방면 부사오거리 정류장(172),청란여고 방면 부사오거리 정류장(172),청란여고 방면 부사오거리 정류장(172),36.313372,127.433870,부사동 129-5,0
ST0048,대전남부여성가족원(103),대전남부여성가족원(103),대전남부여성가족원(103),36.302280,127.459788,대성동 133,0
ST0049,그린브라우니 가오점,그린브라우니 가오점,그린브라우니 가오점,36.307578,127.454993,가오동 587,1
ST0050,선화참좋은아파트(유안타증권)(142),선화참좋은아파트(유안타증권)(142),선화참좋은아파트(유안타증권)(142),36.331735,127.422352,선화동 83-1,4
ST0051,목동 한사랑아파트 109동(247),목동 한사랑아파트 109동(247),목동 한사랑아파트 109동(247),36.333186,127.412241,목동 111-12,1
ST0052,신흥마을 102동(191),신흥마을 102동(191),신흥마을 102동(191),36.321214,127.444711,대전광역시 동구 신흥동 229,1
ST0053,판암역 4번출구,판암역 4번출구,판암역 4번출구,36.317423,127.459736,대전광역시 동구 판암동 297-24,0
ST0054,대전대 후문(206),대전대 후문(206),대전대 후문(206),36.335168,127.456467,용운동 631,0
ST0055,대동역 4번출구(153),대동역 4번출구(153),대동역 4번출구(153),36.329639,127.442332,대동 160-1,0
ST0056,이스트시티(103동) 화병원 건너편,이스트시티(103동),이스트시티(103동),36.328064,127.439434,대동 539,0
ST0058,천동 위드힐아파트 상가,천동 위드힐아파트 상가,천동 위드힐아파트 상가,36.316432,127.443883,천동 540,2
ST0059,천동 휴먼시아 입구(201동),천동 휴먼시아 입구(201동),천동 휴먼시아 입구(201동),36.316444,127.447992,천동 528,2
ST0060,효동 현대아파트 건너편(103동),효동 현대아파트 건너편(103동),효동 현대아파트 건너편(103동),36.318477,127.442604,효동 147-24,0
ST0062,홍도동 새마을금고 본점 건너편,홍도동 새마을금고 본점 건너편,홍도동 새마을금고 본점 건너편,36.346767,127.425019,홍도동 51-7,0
ST0063,홍도동 새마을금고 홍도지점,홍도동 새마을금고 홍도지점,홍도동 새마을금고 홍도지점,36.346455,127.430473,홍도동 13-9,0
ST0064,삼성동 한밭자이 정류장(104동),삼성동 한밭자이 정류장(104동),삼성동 한밭자이 정류장(104동),36.341048,127.425233,삼성동 479,0
ST0065,대전역(대한통운 건너편)(152),대전역(대한통운 건너편)(152),대전역(대한통운 건너편)(152),36.332329,127.431977,정동 27-9,8
ST0066,삼성네거리(KT&G 동대전지사)(169),삼성네거리(KT&G 동대전지사)(169),삼성네거리(KT&G 동대전지사)(169),36.336373,127.430173,삼성동 112-1,3
ST0067,솔브릿지 국제대학(243),솔브릿지 국제대학(243),솔브릿지 국제대학(243),36.339134,127.433092,삼성동 150-27,1
ST0068,가양비래공원네거리(명석고등학교),가양비래공원네거리(명석고등학교),가양비래공원네거리(명석고등학교),36.353363,127.454036,비래동 47-1,0
ST0069,대전복합버스터미널(118),대전복합버스터미널(118),대전복합버스터미널(118),36.348687,127.434839,용전동 143-46,1
ST0071,용전동 천주교회(119),용전동 천주교회(119),용전동 천주교회(119),36.349346,127.432342,용전동 144-1,1
ST0072,한국통신 용전지점(120),한국통신 용전지점(120),한국통신 용전지점(120),36.352852,127.432283,용전동 167-1,1
ST0073,한전 대전세종충남지역본부 건너편(115),한전 대전세종충남지역본부 건너편(115),한전 대전세종충남지역본부 건너편(115),36.357341,127.434212,용전동 45-1,0
ST0074,롯데하이마트 용전점(116),롯데하이마트 용전점(116),롯데하이마트 용전점(116),36.355292,127.436636,용전동 51-17,0
ST0075,홈플러스 용전점,홈플러스 용전점,홈플러스 용전점,36.354062,127.437939,용전동 65-1,0
ST0076,용전네거리 몽벨,용전네거리 몽벨,용전네거리 몽벨,36.358518,127.432426,용전동 25-7,0
ST0077,동대전새마을금고 용전지점,동대전새마을금고 용전지점,동대전새마을금고 용전지점,36.353727,127.432766,용전동 127-35,0
